date,time,BAM,TEOM
20130110,1900,29,26
20130110,1959,29,22
20130110,2100,24,25
20130110,2200,17,22
20130110,2259,27,24
20130111,0,26,21
20130111,100,29,22
20130111,159,24,18
20130111,300,26,22
20130111,400,24,17
20130111,459,21,20
20130111,600,27,19
20130111,700,21,25
20130111,759,27,23
20130111,900,29,25
20130111,1000,40,25
20130111,1059,45,29
20130111,1200,83,37
20130111,1300,51,31
20130111,1359,62,31
20130111,1500,51,33
20130111,1600,40,31
20130111,1659,42,31
20130111,1800,46,32
20130111,1900,45,29
20130111,1959,32,26
20130111,2100,29,25
20130111,2200,30,26
20130111,2259,27,23
20130112,0,29,22
20130112,100,26,22
20130112,159,26,24
20130112,300,29,20
20130112,400,43,25
20130112,459,32,24
20130112,600,31,24
20130112,700,32,30
20130112,759,32,26
20130112,900,36,27
20130112,1000,35,30
20130112,1059,50,36
20130112,1200,43,29
20130112,1300,40,31
20130112,1359,41,27
20130112,1500,43,25
20130112,1600,39,23
20130112,1659,36,28
20130112,1800,31,22
20130112,1900,29,19
20130112,1959,28,18
20130112,2100,20,17
20130112,2200,21,18
20130112,2259,18,19
20130113,0,28,17
20130113,100,24,19
20130113,159,21,18
20130113,300,23,14
20130113,400,29,14
20130113,459,22,11
20130113,600,26,13
20130113,700,23,23
20130113,759,20,18
20130113,900,32,23
20130113,1000,36,24
20130113,1059,41,25
20130113,1200,41,26
20130113,1300,38,24
20130113,1359,44,20
20130113,1500,35,19
20130113,1600,38,15
20130113,1659,24,14
20130113,1800,27,11
20130113,1900,23,12
20130113,1959,18,14
20130113,2100,14,13
20130113,2200,15,12
20130113,2259,16,9
20130114,0,18,14
20130114,100,16,7
20130114,159,14,13
20130114,300,24,5
20130114,400,17,10
20130114,459,13,8
20130114,600,12,6
20130114,700,14,19
20130114,759,21,10
20130114,900,22,17
20130114,1000,33,19
20130114,1059,31,20
20130114,1200,29,22
20130114,1300,35,23
20130114,1359,37,19
20130114,1500,33,16
20130114,1600,28,13
20130114,1659,35,15
20130114,1800,28,12
20130114,1900,24,15
20130114,1959,20,24
20130114,2100,20,21
20130114,2200,19,15
20130114,2259,18,18
20130115,0,23,17
20130115,100,21,15
20130115,159,19,13
20130115,300,17,15
20130115,400,19,13
20130115,459,21,17
20130115,600,19,16
20130115,700,23,22
20130115,759,26,19
20130115,900,28,21
20130115,1000,36,25
20130115,1059,37,27
20130115,1200,40,24
20130115,1300,29,23
20130115,1359,35,20
20130115,1500,33,17
20130115,1600,30,18
20130115,1659,34,14
20130115,1800,22,18
20130115,1900,26,19
20130115,1959,20,20
20130115,2100,20,16
20130115,2200,8,7
20130115,2259,11,13
20130116,0,16,14
20130116,100,21,17
20130116,159,17,8
20130116,300,16,12
20130116,400,20,15
20130116,459,17,9
20130116,600,14,13
20130116,700,23,24
20130116,759,18,14
20130116,900,27,18
20130116,1000,24,20
20130116,1200,36,19
20130116,1300,39,25
20130116,1359,36,36
20130116,1500,43,26
20130116,1600,34,26
20130116,1659,38,22
20130116,1800,31,22
20130116,1900,28,23
20130116,1959,26,19
20130116,2100,22,21
20130116,2200,19,22
20130116,2259,23,16
20130117,0,27,23
20130117,100,24,19
20130117,159,18,19
20130117,300,22,20
20130117,400,25,19
20130117,459,21,19
20130117,600,23,21
20130117,700,26,33
20130117,759,33,28
20130117,900,38,31
20130117,1000,40,29
20130117,1059,44,32
20130117,1200,41,32
20130117,1300,41,28
20130117,1359,36,27
20130117,1500,38,23
20130117,1600,33,26
20130117,1659,35,22
20130117,1800,24,20
20130117,1900,28,21
20130117,1959,25,20
20130117,2100,21,17
20130117,2200,16,16
20130117,2259,21,16
20130118,0,24,15
20130118,100,16,17
20130118,159,20,13
20130118,300,22,13
20130118,400,21,19
20130118,459,24,17
20130118,600,24,20
20130118,700,26,29
20130118,759,29,26
20130118,900,32,28
20130118,1000,42,27
20130118,1059,50,28
20130118,1200,43,29
20130118,1300,40,26
20130118,1359,39,24
20130118,1500,36,23
20130118,1600,32,25
20130118,1659,41,28
20130118,1800,31,24
20130118,1900,42,21
20130118,1959,34,22
20130118,2100,23,23
20130118,2200,19,21
20130118,2259,27,22
20130119,0,25,20
20130119,100,31,19
20130119,159,25,18
20130119,300,26,25
20130119,400,27,21
20130119,459,31,24
20130119,600,35,23
20130119,700,26,31
20130119,759,31,26
20130119,900,34,29
20130119,1000,41,29
20130119,1059,40,28
20130119,1200,36,29
20130119,1300,40,28
20130119,1359,44,25
20130119,1500,37,22
20130119,1600,35,23
20130119,1659,27,23
20130119,1800,25,21
20130119,1900,33,21
20130119,1959,25,21
20130119,2100,19,20
20130119,2200,27,20
20130119,2259,27,22
20130120,0,31,23
20130120,100,32,22
20130120,159,32,21
20130120,300,31,20
20130120,400,29,19
20130120,459,26,20
20130120,600,25,17
20130120,700,32,29
20130120,759,27,18
20130120,900,31,24
20130120,1000,33,25
20130120,1059,46,26
20130120,1200,39,23
20130120,1300,38,26
20130120,1359,41,24
20130120,1500,45,22
20130120,1600,30,18
20130120,1659,31,18
20130120,1800,26,15
20130120,1900,22,21
20130120,1959,24,16
20130120,2100,26,19
20130120,2200,18,15
20130120,2259,18,14
20130121,0,22,13
20130121,100,19,13
20130121,159,16,11
20130121,300,16,12
20130121,400,20,14
20130121,459,22,9
20130121,600,18,11
20130121,700,22,20
20130121,759,18,17
20130121,900,22,19
20130121,1000,28,27
20130121,1059,47,26
20130121,1200,44,24
20130121,1300,41,27
20130121,1359,37,21
20130121,1500,35,58
20130121,1600,48,28
20130121,1659,46,27
20130121,1800,42,25
20130121,1900,40,21
20130121,1959,40,25
20130121,2100,37,26
20130121,2200,37,22
20130121,2259,25,14
20130122,0,22,14
20130122,100,27,16
20130122,159,26,13
20130122,300,25,12
20130122,400,22,13
20130122,459,28,15
20130122,600,23,16
20130122,700,27,18
20130122,759,25,25
20130122,900,38,19
20130122,1000,33,22
20130122,1059,31,27
20130122,1200,39,21
20130122,1300,37,25
20130122,1359,36,23
20130122,1500,32,19
20130122,1600,28,18
20130122,1659,23,18
20130122,1800,18,15
20130122,1900,21,19
20130122,1959,15,18
20130122,2100,18,19
20130122,2200,16,18
20130122,2259,25,17
20130123,0,19,16
20130123,100,27,16
20130123,159,19,14
20130123,300,26,14
20130123,400,23,14
20130123,459,28,14
20130123,600,19,15
20130123,700,19,18
20130123,759,24,23
20130123,900,26,26
20130123,1000,37,30
20130123,1059,38,34
20130123,1200,40,40
20130123,1300,45,39
20130123,1359,50,32
20130123,1500,45,30
20130123,1600,45,28
20130123,1659,31,27
20130123,1800,32,25
20130123,1900,35,24
20130123,1959,30,24
20130123,2100,27,23
20130123,2200,25,23
20130123,2259,30,24
20130124,0,30,21
20130124,100,31,20
20130124,159,26,20
20130124,300,30,20
20130124,400,31,18
20130124,459,30,19
20130124,600,23,17
20130124,700,25,19
20130124,759,27,29
20130124,900,37,32
20130124,1000,46,41
20130124,1059,59,38
20130124,1200,49,36
20130124,1300,54,32
20130124,1359,51,25
20130124,1500,43,18
20130124,1600,32,21
20130124,1659,35,21
20130124,1800,32,23
20130124,1900,35,19
20130124,1959,34,23
20130124,2100,30,22
20130124,2200,21,20
20130124,2259,28,18
20130125,0,29,17
20130125,100,23,17
20130125,159,27,17
20130125,300,30,19
20130125,400,31,21
20130125,459,30,15
20130125,600,34,18
20130125,700,32,28
20130125,759,36,24
20130125,900,39,21
20130125,1000,44,30
20130125,1059,45,30
20130125,1200,42,28
20130125,1300,44,9
20130125,1359,30,23
20130125,1500,38,25
20130125,1600,30,15
20130125,1659,23,16
20130125,1800,20,19
20130125,1900,19,15
20130125,1959,20,12
20130125,2100,19,17
20130125,2200,10,18
20130125,2259,11,16
20130126,0,20,16
20130126,100,22,13
20130126,159,14,15
20130126,300,21,15
20130126,400,24,15
20130126,459,20,14
20130126,600,20,14
20130126,700,17,15
20130126,759,19,22
20130126,900,24,21
20130126,1000,29,23
20130126,1059,36,28
20130126,1200,33,26
20130126,1300,35,13
20130126,1359,30,13
20130126,1500,17,14
20130126,1600,21,13
20130126,1659,16,9
20130126,1800,15,9
20130126,1900,13,10
20130126,1959,12,11
20130126,2100,11,18
20130126,2200,14,20
20130126,2259,20,19
20130127,0,25,17
20130127,100,20,17
20130127,159,21,13
20130127,300,21,9
20130127,400,13,10
20130127,459,12,11
20130127,600,14,11
20130127,700,19,16
20130127,759,12,11
20130127,900,13,16
20130127,1000,27,17
20130127,1059,26,22
20130127,1200,27,21
20130127,1300,25,25
20130127,1359,28,21
20130127,1500,17,8
20130127,1600,23,1
20130127,1659,15,3
20130127,1800,16,6
20130127,1900,14,16
20130127,1959,12,18
20130127,2100,19,19
20130127,2200,13,13
20130127,2259,18,12
20130128,0,16,14
20130128,100,18,10
20130128,159,13,18
20130128,300,25,13
20130128,400,17,12
20130128,459,16,11
20130128,600,23,14
20130128,700,16,17
20130128,759,22,18
20130128,900,21,18
20130128,1000,18,18
20130128,1059,28,23
20130128,1200,32,21
20130128,1300,28,19
20130128,1359,30,22
20130128,1500,31,20
20130128,1600,27,17
20130128,1659,21,12
20130128,1800,17,12
